# Timer data started: Fri Mar 17 18:29:48 2023
# timer(10 ns), starts, total starts, total stops
30, 12, 221763, 956
114, 562, 222325, 957
159, 449, 222774, 958
3900, 201, 222975, 959
162, 602, 223577, 960
2994, 285, 223862, 961
2481, 245, 224107, 962
3525, 89, 224196, 963
442, 156, 224352, 964
1042, 146, 224498, 965
434, 169, 224667, 966
451, 47, 224714, 967
289, 873, 225587, 968
608, 298, 225885, 969
1142, 71, 225956, 970
255, 336, 226292, 971
228, 525, 226817, 972
17, 125, 226942, 973
1549, 140, 227082, 974
404, 345, 227427, 975
257, 28, 227455, 976
137, 4, 227459, 977
1426, 174, 227633, 978
71, 229, 227862, 979
57, 356, 228218, 980
131, 40, 228258, 981
1998, 103, 228361, 982
116, 59, 228420, 983
100, 627, 229047, 984
498, 50, 229097, 985
211, 32, 229129, 986
140, 439, 229568, 987
25, 58, 229626, 988
3104, 118, 229744, 989
57, 556, 230300, 990
2797, 295, 230595, 991
971, 136, 230731, 992
844, 90, 230821, 993
3291, 21, 230842, 994
738, 277, 231119, 995
2970, 635, 231754, 996
426, 181, 231935, 997
3832, 51, 231986, 998
1051, 279, 232265, 999
149, 270, 232535, 1000
752, 87, 232622, 1001
92, 196, 232818, 1002
2925, 52, 232870, 1003
2210, 26, 232896, 1004
46, 38, 232934, 1005
170, 542, 233476, 1006
129, 130, 233606, 1007
11, 92, 233698, 1008
2005, 116, 233814, 1009
252, 65, 233879, 1010
1641, 4, 233883, 1011
2293, 417, 234300, 1012
194, 418, 234718, 1013
131, 132, 234850, 1014
190, 174, 235024, 1015
2417, 108, 235132, 1016
172, 241, 235373, 1017
530, 438, 235811, 1018
84, 701, 236512, 1019
294, 14, 236526, 1020
1230, 13, 236539, 1021
262, 83, 236622, 1022
4068, 67, 236689, 1023
2879, 125, 236814, 1024
11, 66, 236880, 1025
52, 170, 237050, 1026
313, 12, 237062, 1027
1466, 422, 237484, 1028
130, 653, 238137, 1029
238, 134, 238271, 1030
66, 118, 238389, 1031
399, 519, 238908, 1032
78, 94, 239002, 1033
16, 5, 239007, 1034
111, 578, 239585, 1035
320, 241, 239826, 1036
150, 23, 239849, 1037
